test_row_index,numeric__age_years,numeric__income_brl,numeric__income_normalized,numeric__food_insecurity,numeric__poor_housing,numeric__social_vulnerability,numeric__mental_health_history,numeric__chronic_condition,numeric__recent_service_contact,numeric__phq9_total,numeric__gad7_total,numeric__idate_estado_total,categorical__gender_category_feminino,categorical__gender_category_masculino,categorical__gender_category_outro_ou_nao_informado,categorical__education_fundamental_ou_menos,categorical__education_medio,categorical__education_superior
0,0.01568864022171948,0.062305188002585804,0.04534429181463915,0.006047081686209997,0.011396040540279487,0.03648016553143628,0.01352444681378744,0.08509716554957375,0.009124699174640519,0.16230408847856298,0.14812641229913237,0.15832392033455106,0.017327507462313922,0.01418000282532877,0.0,0.005827381012320798,0.0056781808343110566,0.0033799032209208893
1,0.011721267733343069,0.012604265039137093,0.009675694907640142,0.006891203325838227,0.00413747826312473,0.03468603309525054,0.011459886458037328,0.021147740534417998,0.0075294457796103885,0.15358697459192777,0.12044187023225017,0.14461526978805817,0.003532110589769949,0.004223554874972396,0.0,0.008301413468783334,0.005251982953726077,0.0022886377920717056
2,0.05582329382177074,0.022078718425696652,0.02786880300175966,0.013131553581119622,0.007237784785750882,0.02123613445696137,0.015256438549420917,0.045967053938190686,0.014452341105117096,0.12305669930758964,0.1867772965258352,0.07242909766252813,0.004826147744571926,0.002612639870857601,0.0,0.005721958583528043,0.0028460700493258065,0.004263620792721932
3,0.012877967597322855,0.016862784756011044,0.013134601803251496,0.007466914448374492,0.004647979414662915,0.022674454394238278,0.008994151104948974,0.02722669276541208,0.0120504744945963,0.15174522369281415,0.07994259220235247,0.1367962929065894,0.0062933925131453475,0.007279521322657322,0.0,0.03892097042753773,0.008568007967587339,0.003043072519907509
4,0.014272522023201568,0.007219727235407101,0.005902009424488869,0.00964342990106563,0.006633860977423739,0.011542995433071216,0.01051108741321035,0.012480206909871873,0.007462813643159834,0.15905984229576603,0.13820113870981549,0.14153161629329009,0.004164800301620567,0.003250112168582886,0.0,0.017148089841161476,0.0037003361853138014,0.0021644301806875983
5,0.03450168806391045,0.013626073755727176,0.018634151454265755,0.0176131450376626,0.008146463949840813,0.032082693735496035,0.015835677071897147,0.028784329884328518,0.016273149987848495,0.021952527972400538,0.06924966167311833,0.06237183851288816,0.005803339692401126,0.005862530631245049,0.0,0.005718117047129096,0.008692162240267799,0.0031852709072476837
6,0.009719631690131,0.007924269180567385,0.008824161892637038,0.009584716966798822,0.004671904729358898,0.038258035037566536,0.009572753415537892,0.02055890097626145,0.009864353065881154,0.148778481599117,0.12515648544756938,0.14281125440280273,0.002923219126931249,0.0035100624593755216,0.0,0.008554296367158026,0.006870203668500157,0.0028558552249295247
7,0.03406981830890694,0.007773528987837762,0.007044369052725033,0.015675414704482787,0.008338260030443214,0.03548071957552578,0.018501025663498163,0.020730521810213315,0.014002572566640607,0.07894236149158589,0.16897536088917353,0.09133272570592538,0.007019895180765137,0.004819731217302119,0.0,0.005284011580339446,0.025089517850843103,0.0024112545427083486
8,0.04374869680434186,0.02253698770697578,0.029499595772390308,0.026111421430950764,0.004712519446361879,0.023443416876336057,0.009769705690787684,0.05528642898313364,0.009223089332770077,0.17435334752186513,0.09735590425085042,0.10559871450131024,0.0034198202111729377,0.004155624053059501,0.0,0.00449923580943653,0.005638871666055962,0.005392082380747077
9,0.04284606823199992,0.009766907612550616,0.01272614818261223,0.00397265616864205,0.007440961787832392,0.018451997675490515,0.015679998932565914,0.09472335545095584,0.008907453816634488,0.16083805814219515,0.15347974863584232,0.132319313654284,0.0021865067328395017,0.002867650778113253,0.0,0.012806254650879933,0.004965017109030338,0.005199499864398244
