test_row_index,numeric__age_years,numeric__income_brl,numeric__income_normalized,numeric__food_insecurity,numeric__poor_housing,numeric__social_vulnerability,numeric__mental_health_history,numeric__chronic_condition,numeric__recent_service_contact,numeric__phq9_total,numeric__gad7_total,numeric__idate_estado_total,categorical__gender_category_feminino,categorical__gender_category_masculino,categorical__gender_category_outro_ou_nao_informado,categorical__education_fundamental_ou_menos,categorical__education_medio,categorical__education_superior
0,0.010992559133353884,0.018941450185782256,0.016555514725029072,0.012224525267425877,0.008695019410903393,0.03599510812573774,0.01466212066826501,0.005594193647703881,0.020953815016198387,0.1637708087590083,0.10027897118720953,0.11379912143334768,0.0006465833189789408,0.0018061510615499873,4.71414560422093e-05,0.0024663581766006756,0.005597869920741935,0.011637135231395248
1,0.0066192231583739715,0.006537300943646,0.004852040128007939,0.00661103300912342,0.008155601054111027,0.023909949887524616,0.015806683639236242,0.0032040717148581893,0.01996926661234686,0.1456338782999611,0.14712101070502742,0.067716424713729,0.003918962648285352,0.0055413946541605025,5.414927328438937e-05,0.0025774587976705645,0.006820141303635747,0.004156194660040781
2,0.022629927745880282,0.01351798775807301,0.018083616652145952,0.011587009704012356,0.006799750525995774,0.040225515656018535,0.013749057306741995,0.006211823876587116,0.012023583247994378,0.1498027251804334,0.09333880306486833,0.10176111512788466,0.0027360970953304257,0.0032131573684351317,4.440890940529918e-05,0.0034058514724408873,0.006864660751072663,0.0025193605336088516
3,0.01183570383404184,0.008636333686736598,0.005947941747460353,0.007769536261879747,0.008213416712188368,0.020822473921955305,0.014623020272131084,0.002093400360727212,0.010488342299884611,0.1704550880030944,0.13324939501764574,0.1266630455199382,0.0015690256332866023,0.002065823835389582,5.4254359885679233e-05,0.002187552060744717,0.008738566556519162,0.003913210105157978
4,0.05614528408578173,0.07976828732587574,0.08788555340606666,0.013821137373111612,0.00679844691628721,0.059031648149179966,0.014022138479388392,0.01051944802642588,0.011946453005251137,0.1774711753523701,0.1371872907516214,0.14190130366868547,0.000301750070773748,0.013928326480421617,1.536609305952384e-05,0.016234428518291613,0.006223835755080341,0.010437800273442804
5,0.02093964880142483,0.03406055893037978,0.030560417406102398,0.0077630906810291864,0.012911167784443688,0.028711842376570526,0.02141375725050944,0.004902762780056373,0.012227965724943314,0.19782254783500985,0.13214995992057585,0.05041913164621087,0.003013119588686549,0.0012788445546417014,4.912193459018031e-05,0.004928575158154199,0.013819847390892419,0.008472105564590243
6,0.009040459030441208,0.016465943441949862,0.014233214186133592,0.008131939718675995,0.006246157617215079,0.020523184775569053,0.015855543851773072,0.002945739558177695,0.011816900124229533,0.17320953882496604,0.1324352278924364,0.12615282616496143,0.0019620010964851117,0.0017511975845623771,5.397091870308056e-05,0.0021641738373928913,0.008407517709504922,0.014257174677819524
7,0.01491725997854702,0.02415822887582363,0.02489396442122559,0.01585597454985376,0.019615407718012595,0.05101670456611959,0.015629653682576482,0.007146921339186138,0.037854317062284294,0.0636136263448467,0.06279041337446917,0.11892370413625131,0.0015886106213957702,0.00478773412957975,1.3297811319160776e-05,0.010381227122655856,0.010685569456074174,0.0040093952390598195
8,0.12284338451283817,0.01526800684411651,0.0064748123893853355,0.013251178175539361,0.008685117119093488,0.04423851826992857,0.014113904531027639,0.0022817163762565438,0.046774750074190005,0.1557481850393875,0.13934386799194015,0.12736438987190235,0.0039309738359864215,0.0030145469744697396,1.304169489951521e-05,0.005780179913729595,0.013705893800617673,0.010571642567401975
9,0.04175447200522363,0.01859709223946364,0.01626875359017256,0.016649503915503114,0.007047440489024926,0.04043574378486094,0.009588527960541379,0.004843918708259739,0.015483153745857438,0.1338262389791467,0.11782358567947734,0.04022202702623616,0.007064327411184794,0.00768889651330112,1.5472073852138764e-05,0.006335168400751982,0.0114700666419764,0.004770217266823668
